Data,DataExcel,Regiao,Sistema,Classe,TipoConsumidor,Consumo,Consumidores,DataVersao
20250601,2025-06-01,Norte,SISTEMAS ISOLADOS,Rural,Cativo,6663.286,34658,2025-07-21
20250601,2025-06-01,Norte,SUDESTE / CENTRO - OESTE,Comercial,Cativo,60752.873999999996,68640,2025-07-21
20250601,2025-06-01,Norte,SUDESTE / CENTRO - OESTE,Comercial,Livre,25563.859,363,2025-07-21
20250601,2025-06-01,Norte,SUDESTE / CENTRO - OESTE,Industrial,Cativo,12765.893,2672,2025-07-21
20250601,2025-06-01,Norte,SUDESTE / CENTRO - OESTE,Industrial,Livre,39119.575,120,2025-07-21
20250601,2025-06-01,Norte,SUDESTE / CENTRO - OESTE,Outros,Cativo,53716.985,9737,2025-07-21
20250601,2025-06-01,Norte,SUDESTE / CENTRO - OESTE,Outros,Livre,2360.1,11,2025-07-21
20250601,2025-06-01,Norte,SUDESTE / CENTRO - OESTE,Residencial,Cativo,205127.23599999998,813167,2025-07-21
20250601,2025-06-01,Norte,SUDESTE / CENTRO - OESTE,Rural,Cativo,34562.128,126469,2025-07-21
20250601,2025-06-01,Norte,SUDESTE / CENTRO - OESTE,Rural,Livre,129.658,5,2025-07-21
20250601,2025-06-01,Sudeste,SUDESTE / CENTRO - OESTE,Comercial,Cativo,2115814.847,2733098,2025-07-21
20250601,2025-06-01,Sudeste,SUDESTE / CENTRO - OESTE,Comercial,Livre,2018239.8629999997,24053,2025-07-21
20250601,2025-06-01,Sudeste,SUDESTE / CENTRO - OESTE,Industrial,Cativo,396042.57399999996,129022,2025-07-21
20250601,2025-06-01,Sudeste,SUDESTE / CENTRO - OESTE,Industrial,Livre,7892236.713,13402,2025-07-21
20250601,2025-06-01,Sudeste,SUDESTE / CENTRO - OESTE,Outros,Cativo,1239986.8880000003,303897,2025-07-21
20250601,2025-06-01,Sudeste,SUDESTE / CENTRO - OESTE,Outros,Livre,596976.8300000001,1628,2025-07-21
20250601,2025-06-01,Sudeste,SUDESTE / CENTRO - OESTE,Residencial,Cativo,6117895.023999999,36801242,2025-07-21
20250601,2025-06-01,Sudeste,SUDESTE / CENTRO - OESTE,Residencial,Livre,1484.719,52,2025-07-21
20250601,2025-06-01,Sudeste,SUDESTE / CENTRO - OESTE,Rural,Cativo,634845.5749999998,974193,2025-07-21
20250601,2025-06-01,Sudeste,SUDESTE / CENTRO - OESTE,Rural,Livre,122654.802,1015,2025-07-21
20250601,2025-06-01,Sul,SUL,Comercial,Cativo,843537.4040000001,1151154,2025-07-21
20250601,2025-06-01,Sul,SUL,Comercial,Livre,550308.677,7984,2025-07-21
20250601,2025-06-01,Sul,SUL,Industrial,Cativo,319399.334,226362,2025-07-21
20250601,2025-06-01,Sul,SUL,Industrial,Livre,2860105.391,7403,2025-07-21
20250601,2025-06-01,Sul,SUL,Outros,Cativo,429891.83599999995,132815,2025-07-21
20250601,2025-06-01,Sul,SUL,Outros,Livre,121887.35499999998,1483,2025-07-21
20250601,2025-06-01,Sul,SUL,Residencial,Cativo,2358638.408,11771336,2025-07-21
20250601,2025-06-01,Sul,SUL,Residencial,Livre,374.56,8,2025-07-21
20250601,2025-06-01,Sul,SUL,Rural,Cativo,445187.7480000001,842627,2025-07-21
20250601,2025-06-01,Sul,SUL,Rural,Livre,326160.616,546,2025-07-21
20250501,2025-05-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Comercial,Cativo,413945.591,497237,2025-07-21
20250501,2025-05-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Comercial,Livre,255473.285,3386,2025-07-21
20250501,2025-05-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Industrial,Cativo,66749.647,29938,2025-07-21
20250501,2025-05-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Industrial,Livre,887884.7259999999,1270,2025-07-21
20250501,2025-05-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Outros,Cativo,337523.08499999996,64654,2025-07-21
20250501,2025-05-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Outros,Livre,58881.006,567,2025-07-21
20250501,2025-05-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Residencial,Cativo,1400977.699,6535644,2025-07-21
20250501,2025-05-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Residencial,Livre,139.0,12,2025-07-21
20250501,2025-05-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Rural,Cativo,301226.458,501804,2025-07-21
20250501,2025-05-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Rural,Livre,25147.143999999997,298,2025-07-21
20250501,2025-05-01,Nordeste,NORDESTE,Comercial,Cativo,672356.4500000001,1294912,2025-07-21
20250501,2025-05-01,Nordeste,NORDESTE,Comercial,Livre,561138.736,6667,2025-07-21
20250501,2025-05-01,Nordeste,NORDESTE,Industrial,Cativo,91698.939,32413,2025-07-21
20250501,2025-05-01,Nordeste,NORDESTE,Industrial,Livre,1785238.5160000003,2585,2025-07-21
20250501,2025-05-01,Nordeste,NORDESTE,Outros,Cativo,745507.2540000001,267313,2025-07-21
20250501,2025-05-01,Nordeste,NORDESTE,Outros,Livre,218776.69600000003,1067,2025-07-21
20250501,2025-05-01,Nordeste,NORDESTE,Residencial,Cativo,2810350.359,20347875,2025-07-21
20250501,2025-05-01,Nordeste,NORDESTE,Residencial,Livre,71.518,3,2025-07-21
20250501,2025-05-01,Nordeste,NORDESTE,Rural,Cativo,402375.62600000005,984997,2025-07-21
20250501,2025-05-01,Nordeste,NORDESTE,Rural,Livre,23611.094,206,2025-07-21
20250501,2025-05-01,Nordeste,NORTE INTERLIGADO,Comercial,Cativo,60475.918,62550,2025-07-21
20250501,2025-05-01,Nordeste,NORTE INTERLIGADO,Comercial,Livre,52828.432,663,2025-07-21
20250501,2025-05-01,Nordeste,NORTE INTERLIGADO,Industrial,Cativo,10037.016,2714,2025-07-21
