TipoConsumidor,Quantidade,Media,Mediana,Moda,Maior_Consumo,Menor_Consumo
Cativo,12380,540056.5721930533,149192.4135,12.0,7598462.275,-100.0
Livre,5228,565043.3395969778,64860.3445,0.0,8262566.295999999,-685.35
