Soma de Consumo,Rótulos de Coluna,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
Rótulos de Linha,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,Total Geral
Centro-Oeste,3239633.556,3235807.195,3443078.312,3509716.187,3376731.6719999993,3366828.7479999997,3270084.243,3546318.432,3730073.289,3953556.038,4033555.386,3967595.292,3702292.3759999997,3634961.1059999997,3762879.412,3763032.305,3779778.0430000005,3640210.6999999997,3595760.9029999995,3693111.72,3815493.7479999997,4142960.545,3908409.2219999996,3784211.8140000007,3617074.6310000005,3700286.818,3857464.839,3852413.357,3747947.641,3630921.308,110302188.838
Nordeste,7661410.911,7494724.993000001,7914538.525000001,7809121.500999999,7940968.1790000005,7727777.841,7463808.988,7737155.486,8056616.935999999,8202189.877999999,8478291.124000002,8484406.501,8425050.419999998,8143742.267000001,8233999.377000002,8328841.260999999,8331417.666999999,8219743.857999999,8008588.571000001,8173625.0030000005,8305614.846999998,8376095.9229999995,8739755.908,8751443.076000001,8466632.777,8199809.606000001,8352240.741,8442959.511,8698664.675999997,8266953.108999999,245436189.46100006
Norte,3179389.379,2962216.7430000007,3327772.2499999995,3213742.8390000006,3393477.9770000004,3383444.196000001,3426420.9499999997,3601722.962,3679263.311,3728980.9379999996,3628495.1680000005,3554578.749000001,3467738.997,3313355.945,3469826.565999999,3483942.0409999997,3637943.1560000004,3576635.6850000005,3713667.134,3818710.815999999,3873153.1750000003,3943199.968,3831847.7199999997,3767050.5020000003,3618409.996,3372379.7180000013,3515606.412,3624334.872000001,3737569.195,3682194.9939999995,106527072.35399999
Sudeste,20159472.764,20704477.061,22083388.663999997,21706203.209,20584051.731000002,20480712.837,20135943.255,20744961.244,21190187.278,22135336.506000005,22489273.378000002,22841022.088,22478504.618,22120149.047999997,23128300.728,22741507.538,22970989.933,21978149.033999998,21434713.842000004,21816536.081000004,22175366.788999997,23084452.162000004,22217444.109000005,22483819.859,22558520.961000003,22876609.153,23753392.306,22328495.027000003,21970866.301999997,21136177.835,658509025.34
Sul,8299477.355,8623365.792,8953570.212000001,8645237.270000001,7868682.541999999,7697984.588000001,7717650.959,7800007.563999998,7820101.927,8053990.357,8035721.486,8375045.4,8893432.445,9154406.603,9353980.789,9076959.069999998,8382904.586,8213253.220000001,8159423.536,8629077.397,8235814.430999999,8448602.713,8671311.497,8583172.681,8883068.889999999,9703075.545,9749096.476999998,8743640.909,8418626.627000002,8255491.328999999,255446174.19699997
Total Geral,42539383.965,43020591.783999994,45722347.963,44884021.006000005,43163912.100999996,42656748.21,42013908.394999996,43430165.68799999,44476242.741,46074053.717,46665336.54200001,47222648.029999994,46967018.856,46366614.969,47948986.87200001,47394282.214999996,47103033.385,45627992.496999994,44912153.986,46131061.017000005,46405442.99,47995311.311000004,47368768.45600001,47369697.932000004,47143707.255,47852160.84,49227800.775,46991843.67600001,46573674.441,44971738.574999996,1376220650.19
